Date,IMAmix35,IMAmix60,IMAmix85,IMAflex
31-May-13,-0.272,-0.367,-0.424,-0.579
30-May-13,-0.187,-0.382,-0.488,-0.493
29-May-13,-0.264,0.000,-0.275,-0.090
28-May-13,0.103,0.049,0.315,0.160
27-May-13,0.000,0.000,0.000,0.000
24-May-13,-0.282,-0.468,-0.530,-0.479
23-May-13,-0.282,-0.208,-0.647,-0.600
22-May-13,0.189,0.257,0.392,0.397
21-May-13,0.173,0.250,0.338,0.374
20-May-13,0.064,0.087,0.298,0.180
17-May-13,0.106,0.085,0.015,0.000
16-May-13,0.116,0.221,0.287,0.194
15-May-13,0.182,0.264,0.626,0.581
14-May-13,0.088,0.123,0.229,0.264
13-May-13,-0.030,0.066,0.068,0.137
10-May-13,0.100,0.180,0.348,0.337
09-May-13,0.088,0.202,0.216,0.213
08-May-13,0.190,0.356,0.526,0.575
07-May-13,0.094,0.250,0.542,0.568
06-May-13,0.000,0.000,0.000,0.000
03-May-13,0.192,0.095,0.241,0.147
02-May-13,0.000,-0.052,-0.172,-0.170
01-May-13,0.036,0.120,0.122,0.135
30-Apr-13,0.171,0.162,0.268,0.247
29-Apr-13,0.014,-0.044,0.000,-0.052
26-Apr-13,0.000,0.021,-0.023,0.000
25-Apr-13,0.106,0.224,0.240,0.146
24-Apr-13,0.095,0.220,0.497,0.529
23-Apr-13,0.190,0.280,0.265,0.205
22-Apr-13,0.326,0.252,0.503,0.324
19-Apr-13,-0.090,-0.133,-0.253,-0.286
18-Apr-13,0.009,0.025,-0.183,-0.101
17-Apr-13,0.000,-0.090,0.000,-0.056
16-Apr-13,-0.092,-0.298,-0.461,-0.471
15-Apr-13,-0.140,-0.214,-0.376,-0.442
12-Apr-13,0.145,0.211,0.014,0.055
11-Apr-13,0.208,0.408,0.608,0.547
10-Apr-13,0.187,0.253,0.457,0.379
09-Apr-13,0.042,0.100,0.170,0.147
08-Apr-13,0.095,-0.204,-0.149,-0.176
05-Apr-13,-0.288,-0.439,-0.891,-0.745
04-Apr-13,0.089,0.000,-0.264,-0.093
03-Apr-13,0.089,0.129,0.202,0.154
02-Apr-13,0.063,0.150,0.113,0.047
01-Apr-13,0.000,0.000,0.000,0.000
29-Mar-13,0.000,0.000,0.000,0.000
28-Mar-13,0.117,0.112,0.247,0.187
27-Mar-13,0.038,-0.027,0.000,0.000
26-Mar-13,0.040,0.080,-0.139,0.000
25-Mar-13,0.132,0.106,0.256,0.157
22-Mar-13,0.000,-0.117,-0.139,-0.220
21-Mar-13,-0.176,-0.159,-0.280,-0.246
20-Mar-13,-0.012,0.000,-0.071,-0.037
19-Mar-13,0.054,-0.039,0.000,-0.059
18-Mar-13,0.000,-0.136,-0.295,-0.349
15-Mar-13,-0.025,-0.049,-0.123,-0.149
14-Mar-13,0.000,-0.047,0.155,0.000
13-Mar-13,-0.159,-0.115,-0.316,-0.265
12-Mar-13,0.240,0.274,0.252,0.207
11-Mar-13,0.196,0.257,0.457,0.452
08-Mar-13,0.000,0.077,0.159,0.221
07-Mar-13,0.171,0.271,0.246,0.328
06-Mar-13,0.191,0.381,0.670,0.613
05-Mar-13,0.000,0.050,0.160,0.095
04-Mar-13,0.116,0.124,0.124,0.000
01-Mar-13,0.265,0.356,0.365,0.469
28-Feb-13,0.154,0.224,0.481,0.461
27-Feb-13,0.119,-0.110,0.011,0.000
26-Feb-13,-0.067,-0.170,-0.594,-0.363
25-Feb-13,0.235,0.295,0.573,0.500
