"","Date","Mid.SKSPEC3","Mid.SKSPEC4","Mid.SKSPEC5","Mid.SKSPEC6","Mid.SKSPEC7","Mid.SKSPEC8"
"1993",2013-05-23,0.64766,0.64611,0.64605,0.63596,0.62604,0.61178
"2005",2013-05-24,0.64538,0.64344,0.64297,0.63248,0.62228,0.6078
"2017",2013-05-28,0.6462,0.64455,0.64437,0.63415,0.6242,0.60992
"2029",2013-05-29,0.64502,0.64361,0.64365,0.63365,0.62392,0.60984
"2041",2013-05-30,0.64297,0.64099,0.64048,0.62997,0.61982,0.60538
"2053",2013-05-31,0.64229,0.63994,0.63905,0.62819,0.61775,0.60304
"2065",2013-06-03,0.63884,0.63639,0.63541,0.62444,0.61403,0.59933
"2077",2013-06-04,0.63863,0.63612,0.63503,0.62398,0.6135,0.59876
"2089",2013-06-05,0.63659,0.63341,0.63168,0.62001,0.60904,0.59385
"2101",2013-06-06,0.63371,0.62983,0.6274,0.61506,0.60359,0.58795
"2113",2013-06-07,0.6315,0.62708,0.62409,0.61122,0.59933,0.5833
"2125",2013-06-10,0.63174,0.62791,0.62545,0.61309,0.60167,0.58607
"2137",2013-06-11,0.62914,0.62513,0.6225,0.60996,0.59847,0.58277
"2149",2013-06-12,0.62726,0.62304,0.62015,0.60736,0.59575,0.57991
"2161",2013-06-13,0.62524,0.62029,0.6167,0.60318,0.59103,0.57465
"2173",2013-06-14,0.62671,0.62216,0.61898,0.60587,0.59402,0.57795
"2185",2013-06-17,0.62818,0.62385,0.62091,0.60804,0.59632,0.58038
"2197",2013-06-18,0.62846,0.6247,0.62229,0.60995,0.59869,0.58316
"2209",2013-06-19,0.62853,0.62482,0.62246,0.61018,0.59896,0.58344
"2221",2013-06-20,0.62417,0.61999,0.61721,0.60446,0.59297,0.5772
"2233",2013-06-21,0.62022,0.6158,0.61279,0.59975,0.58818,0.57232
"2245",2013-06-24,0.61559,0.61063,0.60713,0.59353,0.58166,0.56551
"2257",2013-06-25,0.61314,0.60798,0.60425,0.59041,0.57844,0.5622
"2269",2013-06-26,0.61519,0.61085,0.60788,0.59482,0.58344,0.56777
"2281",2013-06-27,0.61796,0.61415,0.61166,0.59913,0.58809,0.57274
"2293",2013-06-28,0.62187,0.61871,0.61683,0.60499,0.59434,0.57937
"2305",2013-07-01,0.62225,0.61978,0.61855,0.60738,0.59729,0.58267
"2317",2013-07-02,0.62381,0.62153,0.62046,0.6095,0.59951,0.58511
"2329",2013-07-03,0.62238,0.61932,0.61757,0.60588,0.59533,0.58039
"2341",2013-07-04,0.62217,0.61951,0.61813,0.60681,0.59659,0.58196
"2353",2013-07-05,0.62489,0.62339,0.62307,0.61287,0.60345,0.58957
"2365",2013-07-08,0.62605,0.62488,0.62489,0.61505,0.60585,0.59218
"2377",2013-07-09,0.62737,0.6266,0.62696,0.61749,0.60853,0.5951
"2389",2013-07-10,0.62825,0.62727,0.62743,0.6178,0.60866,0.59504
"2401",2013-07-11,0.62961,0.62891,0.62924,0.61969,0.61062,0.59708
"2413",2013-07-12,0.63155,0.63127,0.63198,0.62285,0.61407,0.6009
"2425",2013-07-15,0.63212,0.63207,0.63299,0.62419,0.61548,0.60243
"2437",2013-07-16,0.63303,0.63305,0.63403,0.62532,0.61669,0.60363
"2449",2013-07-17,0.63183,0.6315,0.63217,0.62311,0.61424,0.60093
"2461",2013-07-18,0.6329,0.6327,0.63345,0.62451,0.61573,0.60247
"2473",2013-07-19,0.63343,0.63332,0.63417,0.62534,0.61662,0.60345
"2485",2013-07-22,0.63319,0.63294,0.6337,0.62472,0.61587,0.60257
"2497",2013-07-23,0.63413,0.6342,0.63525,0.62657,0.61794,0.60488
